,State,Avg. Precipitation,Avg. Temp,Unnamed: 3,inches of water,degrees F,level_0,index,state,state_abbr,storm_injuries,storm_deaths,lung_cancer,Unnamed: 0,index_left,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI,average_AQI,index_right,WEEK,REGION,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths),Avg. Precipitation %,Avg. Temp %,Unnamed: 3 %,inches of water %,degrees F %,level_0 %,index %,state %,state_abbr %,storm_injuries %,storm_deaths %,lung_cancer %,Unnamed: 0 %,index_left %,NO2 Mean %,NO2 1st Max Value %,NO2 AQI %,O3 Mean %,O3 1st Max Value %,O3 AQI %,SO2 Mean %,SO2 1st Max Value %,SO2 AQI %,CO Mean %,CO 1st Max Value %,CO AQI %,average_AQI %,index_right %,WEEK %,REGION %,Pneumonia and Influenza Deaths %,All Deaths %,<1 year (all cause deaths) %,1-24 years (all cause deaths) %,25-44 years %,45-64 years (all cause deaths) %,65+ years (all cause deaths) %
48,HI,5330.357143,715,,53.30357143,71.5,11,11,hawaii,HI,2,0,37.55,12,209,15.45448135,27.46485645,25.99979891,0.034534622,0.041859719,35.83289078,2.7573653,4.376870522,5.285328439,0.535882836,0.76589219,7.563752829,18.67044274,592,26.69955589,9,5.668309349,73.61086309,1.538064504,1.270749737,3.512856283,13.20525765,54.07542822,88.26859771,98.24065174,,88.26859771,98.24065174,,,,,0.913242009,0,18.81228391,,,64.3036979,64.42532179,64.41921814,71.49484694,57.49376692,57.38388654,70.78304239,69.76249998,65.72899793,90.56488337,83.68487396,88.5072191,62.45959535,,,,27.64969252,24.22949992,31.34070461,18.17938133,12.24780356,17.04271274,28.03778535
11,ID,1739.235714,457.4857143,,17.39235714,45.74857143,12,12,idaho,ID,5,1,43.6575,13,226,14.98788313,31.61581679,29.90897618,0.036999586,0.050165482,43.12537426,2.035201123,3.54364729,4.052644597,0.388206599,0.603603255,5.974802027,20.76544927,667,26.01528854,8,3.519917236,47.9851704,1.216619069,1.155742572,2.500891017,8.663329027,34.44386799,16.45027403,32.68840365,,16.45027403,32.68840365,,,,,2.283105023,2.702702703,30.2779994,,,61.53153397,79.157825,79.16259055,84.34738375,100,100,51.12596742,54.49779773,47.74424875,60.88370316,60.01760519,62.78294823,85.9507668,,,,13.46630142,13.26701643,24.03148603,16.10010821,6.163018102,8.969697139,15.12546478
27,IL,4019.414201,521.704142,,40.19414201,52.1704142,13,13,illinois,IL,15,12,59.80784314,14,243,15.76372643,30.1757831,28.48887993,0.020822759,0.032915313,28.11374393,1.697225145,4.312491049,5.909052702,0.388066639,0.596888267,5.779833116,17.07287742,722,25.90140367,3,9.800505083,138.3618577,3.35633269,3.799715879,11.13546098,32.92738245,86.81552733,62.05123737,49.03569985,,62.05123737,49.03569985,,,,,6.849315068,32.43243243,60.5973182,,,66.14099178,74.046887,73.80673011,0,11.71916365,12.27442021,41.92637078,68.58306396,74.82908023,60.85557286,59.03833062,59.62650495,44.54619972,,,,54.92988399,51.92950077,72.68557429,63.9018486,58.08130771,52.09764964,49.57202156
26,IN,4254.844037,519.7981651,,42.54844037,51.97981651,14,14,indiana,IN,8,3,64.28478261,15,260,12.08009651,27.07080936,25.44162861,0.027062166,0.042569456,36.43512839,1.858936797,3.990353844,4.915301887,0.374598334,0.550780904,5.119747385,17.97795157,777,26.26860472,3,4.841128155,78.69454156,1.895712585,1.89218833,4.738024812,16.68071835,53.46808181,66.75956498,48.55051873,,66.75956498,48.55051873,,,,,3.652968037,8.108108108,69.00195417,,,44.25572618,63.02677795,62.31409166,32.53281108,61.12597342,60.90326733,46.32810956,62.68149002,60.33034298,58.14860255,52.31430256,48.94006701,54.69473708,,,,22.18875533,26.4042603,39.47312062,29.41468625,19.61454618,23.22014325,27.63831371
14,IA,3517.958621,481.8137931,,35.17958621,48.18137931,15,15,iowa,IA,20,5,48.32424242,16,277,12.81824519,23.91114287,22.33706595,0.026749045,0.035857309,30.61618002,1.508002104,2.712368133,3.109371706,0.364057783,0.559170435,5.313761921,15.3440949,647,26.05516821,4,6.998090067,73.53412948,1.203080985,1.192269265,3.254888875,14.12290322,53.72872193,52.02269897,38.88130379,,52.02269897,38.88130379,,,,,9.132420091,13.51351351,39.03895574,,,48.64123186,51.81255451,50.60530479,30.90017093,26.77535629,26.89825866,36.7757809,39.26871106,33.98197998,56.03007624,53.53778268,52.08105946,25.16147419,,,,36.42872307,24.19667384,23.72364897,16.7604929,10.69668675,18.6737747,27.80974526
30,KS,3070.03012,544.7228916,,30.7003012,54.47228916,16,16,kansas,KS,17,1,50.66764706,17,294,9.304742699,19.59678865,18.52941953,0.026138875,0.037488771,32.08436677,1.814788347,3.455266252,4.862791302,0.291144327,0.458060902,4.891914595,15.09212305,832,25.72850496,4,3.585919891,57.12352,1.229372582,1.836541747,4.040314553,12.83719459,37.12771862,43.06464096,54.89530015,,43.06464096,54.89530015,,,,,7.762557078,2.702702703,43.43826985,,,27.7667312,36.5001371,36.24485366,27.71869145,35.12465593,35.47810849,45.12640305,52.87865153,59.56421815,41.37533239,38.79255995,45.25157496,22.33613029,,,,13.90204193,17.1763354,24.32148303,28.40862332,15.41932586,16.38850193,16.8907213
35,KY,4824.294737,559.5789474,,48.24294737,55.95789474,17,17,kentucky,KY,4,11,80.79666667,18,311,10.61558387,23.53294022,22.07452747,0.027785478,0.039912933,34.34323643,1.927368143,4.865340936,7.236393133,0.144229327,0.330138245,2.847934736,16.62552294,857,26.56328976,6,4.954317509,66.6019086,1.56718799,1.612596399,4.446472302,15.63893249,43.33458266,78.14792805,58.67702376,,78.14792805,58.67702376,,,,,1.826484018,29.72972973,100,,,35.55473048,50.47024543,49.61514694,36.30422279,47.53074011,48.67858347,48.19078863,78.71130882,94.19486074,11.84715183,20.13706809,12.16062496,39.53004314,,,,22.93601598,21.23112057,32.00293186,24.35980129,17.86148751,21.3684291,20.9731792
47,LA,5916.960784,666.7254902,,59.16960784,66.67254902,18,18,louisiana,LA,35,7,69.2921875,19,328,13.32584299,26.62467891,25.12636938,0.021517481,0.034919531,29.80883674,1.590120476,3.693189858,4.74381658,0.451688169,0.634972742,5.820614699,16.37490935,912,25.98685002,7,3.391611093,57.0888082,1.315439322,1.804139135,4.290033572,12.47515478,37.15071642,100,85.95200285,,100,85.95200285,,,,,15.98173516,18.91891892,78.40244207,,,51.65698341,61.44338091,61.1250987,3.622340966,21.97610903,22.18027296,39.01101638,57.23742702,57.82838738,73.64274929,64.59234764,60.28673715,36.71992932,,,,12.6192418,17.16148595,26.27852005,27.82279999,16.92084643,15.74499709,16.90584771
3,ME,4518.368421,425.4342105,,45.18368421,42.54342105,19,19,maine,ME,0,1,61.79375,20,345,9.585441696,17.80687228,16.61905655,0.029753539,0.037361125,31.87769772,1.809725421,3.262647614,3.959065826,0.326755942,0.47763724,4.814255318,14.31751885,,,,,,,,,,,72.02975143,24.52944609,,72.02975143,24.52944609,,,,,0,2.702702703,64.32549553,,,29.43442644,30.14740267,29.0399635,46.56586411,34.47140461,34.27036744,44.98859185,49.34986592,46.37894269,48.53284658,41.64745855,43.99431245,13.65054397,,,,-9.771711091,-7.26068772,-3.632726132,-4.79515055,-8.874440006,-6.428869466,-7.529396062
32,MD,4395.46,551.1,,43.9546,55.11,20,20,maryland,MD,1,4,60.9625,21,362,14.80421423,29.96522308,28.3034055,0.031246293,0.04373801,37.57475051,2.790084243,5.688535024,6.430188767,0.443400828,0.69447115,6.342293268,19.66265951,1022,26.61111111,5,15.72012579,173.736857,3.447427834,5.687711659,17.99193678,47.41835994,99.11929527,69.5717235,56.51864229,,69.5717235,56.51864229,,,,,0.456621005,10.81081081,62.76497551,,,60.44031614,73.2995717,73.10721756,54.34921337,67.10625828,67.56303773,71.67364142,93.79227651,82.43240973,71.97709158,73.26924735,68.73243654,73.58525722,,,,94.01041084,67.06266616,74.75695017,98.03588615,99.30820121,77.85452454,57.66461298
15,MA,4853.5,485.2941176,,48.535,48.52941176,21,21,massachusetts,MA,1,0,55.45,22,379,18.3463046,31.35594317,29.72182277,0.021127992,0.030625376,26.01334107,2.411252179,4.673959382,5.793637356,0.287561221,0.483806288,4.738155312,16.56673913,967,25.82798328,1,4.532573457,45.25187417,1.006974782,0.951113521,2.744737967,9.327216621,31.17933092,78.73199993,39.76724725,,78.73199993,39.76724725,,,,,0.456621005,0,52.41626382,,,81.48466375,78.23548689,78.45674575,1.591511425,0,0,61.36195535,75.20518666,73.14518046,40.65517038,42.54711641,42.7622937,38.87090412,,,,20.15171939,12.09773234,19.26446882,12.40051534,7.629230852,10.14971896,12.97827176
9,MI,3327.037838,455.2648649,,33.27037838,45.52648649,22,22,michigan,MI,5,3,57.84216867,23,396,11.96615018,24.02097997,22.60807706,0.023373119,0.032336169,27.71672451,1.463255419,4.124137951,5.652388876,0.272075079,0.466831259,4.964745061,15.23548388,1077,26.40650999,3,6.546130257,93.73485744,2.801227264,2.685913906,7.481895657,24.16346677,56.58470848,48.20450154,32.1230693,,48.20450154,32.1230693,,,,,2.283105023,8.108108108,56.90712348,,,43.57874566,52.20238609,51.62741698,13.29779898,8.755290273,9.954301871,35.55779063,65.13242331,71.08437752,37.54263867,40.0715775,46.43066158,23.94362592,,,,33.44494618,32.83839719,60.06325506,43.7648553,36.11300317,36.52029607,29.68822121
2,MN,2901.531792,423.2485549,,29.01531792,42.32485549,23,23,minnesota,MN,0,3,44.42413793,24,413,17.50416097,31.98952058,30.25530756,0.034729792,0.044594924,38.20188386,2.73194994,4.378823865,4.999878751,0.486220387,0.742083745,7.249193808,20.17656599,1132,26.29402125,4,4.114855469,55.12590156,1.562173334,1.385846633,3.166391311,11.00505064,38.00283214,39.69486701,23.97307059,,39.69486701,23.97307059,,,,,0,8.108108108,31.71722206,,,76.48130093,80.48416682,80.4687714,72.51248031,71.49166949,71.22790527,70.09124452,69.79828534,61.56431201,80.58331742,80.21278964,83.41467536,79.34765702,,,,17.39400232,16.32176888,31.88890561,20.26027675,10.16456504,13.13197195,17.46631214
45,MS,5788.315789,635.4526316,,57.88315789,63.54526316,24,24,mississippi,MS,37,7,66.97439024,,,,,,,,,,,,,,,,,,,,,,,,,,97.42724715,77.99125543,,97.42724715,77.99125543,,,,,16.89497717,18.91891892,74.05120115,,,-27.51481708,-33.05238283,-33.63842709,-108.5716775,-156.7308591,-152.0178273,-4.27154789,-10.42204448,-11.38348058,-17.14124016,-28.00836203,-33.94592817,-146.8908601,,,,-9.771711091,-7.26068772,-3.632726132,-4.79515055,-8.874440006,-6.428869466,-7.529396062
