Rec,State,Year,NO2 Mean,NO2 1st Max Value,NO2 AQI,O3 Mean,O3 1st Max Value,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 AQI,CO Mean,CO 1st Max Value,CO AQI,average_AQI,WEEK,REGION,Pneumonia and Influenza Deaths,All Deaths,<1 year (all cause deaths),1-24 years (all cause deaths),25-44 years,45-64 years (all cause deaths),65+ years (all cause deaths)
14,Alabama,2014,8.987480822306214,22.466540642722165,20.776937618147446,0.024014068052930094,0.03736862003780714,34.784499054820415,0.9263639716446134,3.155009451795842,4.112630236954284,0.20094100567107692,0.3841682419659726,3.691118573492335,15.84129637085362,27.0,6.0,8.18867924528302,113.22012578616352,2.0943396226415096,2.4276729559748427,7.251572327044025,28.427672955974842,72.9874213836478
15,Alabama,2015,8.583250975655439,20.579588014981308,18.96816479400749,0.02328148876404498,0.03664606741573034,34.256554307116104,0.6863316872659186,2.405430711610489,3.5397571302937725,0.21371678089887614,0.4102247191011237,3.772559417550526,15.134258912241972,26.5,6.0,7.7756410256410255,108.67307692307692,2.0384615384615383,2.467948717948718,7.32051282051282,26.224358974358974,70.61538461538461
16,Alabama,2016,9.006580341911754,23.916544117647064,22.073529411764707,0.028118419117647016,0.03978676470588234,37.06985294117647,0.6686883492647061,2.251470588235295,3.4408841180883245,0.1984397812500004,0.37018382352941165,3.6627214868693927,16.561746989474724,20.0,6.0,7.572649572649572,111.52991452991454,2.282051282051282,2.58974358974359,7.555555555555555,26.316239316239315,72.76068376068376
17,Arizona,2000,17.947150838157114,37.35924394565859,35.28765505020673,0.026319532782043686,0.04456054341405793,38.41287655050207,1.5638356231541635,2.9384524512699453,3.8976685349987394,0.4035405168340216,0.7996455995274674,7.8775717133313155,21.368942962259712,26.5,8.0,10.14423076923077,157.4903846153846,3.5288461538461537,5.346153846153846,12.846153846153847,30.21153846153846,105.28846153846153
18,Arizona,2001,17.583268646948387,36.884507042253524,34.83943661971831,0.02520585446009388,0.04275305164319297,36.68075117370892,1.0338261131455397,2.2503755868544753,3.3932821770850157,0.39715560093896757,0.7907981220657273,7.808911475169125,20.680595361420345,26.5,8.0,10.576923076923077,158.64423076923077,3.8076923076923075,5.490384615384615,12.807692307692308,30.076923076923077,105.74038461538461
19,Arizona,2002,17.853505723561256,38.54992621741269,36.424003935071326,0.026373672897196332,0.04470093457943962,38.28283325135268,1.1922519183472688,2.6118052139695287,3.704421720899854,0.428529621249384,0.8086079685194313,7.91425769070013,21.581379149506,26.5,8.0,9.375,147.59615384615384,2.3653846153846154,4.653846153846154,11.798076923076923,28.990384615384617,99.11538461538461
20,Arizona,2003,18.5502112939958,38.47412008281574,36.31055900621118,0.025665324016563202,0.04290683229813681,36.70807453416149,1.3384242039337464,2.8942546583851168,3.9489471554689164,0.4302272800207027,0.7972049689440989,7.775159632767995,21.185685082152396,27.0,8.0,8.981132075471699,144.0188679245283,2.2547169811320753,3.830188679245283,9.61320754716981,25.92452830188679,92.61320754716981
21,Arizona,2004,17.487002628034485,37.223962411902896,35.137823022709476,0.024028941660141013,0.04091855912294479,35.12960062646828,1.2886201620986641,2.9485121378230574,3.944885717595215,0.38858900861393925,0.7601801096319549,7.453598587754354,20.416476988631832,26.65686274509804,8.0,7.578431372549019,127.36274509803921,2.264705882352941,3.4607843137254903,9.127450980392156,26.15686274509804,85.92156862745098
22,Arizona,2005,17.802312756571983,36.85478443743431,34.734490010515245,0.025716849894847474,0.04405494216614119,37.75446898002103,1.4607716882229294,2.698133543638276,3.712563469398402,0.43789444505783165,0.7729758149316551,7.568457020959391,20.94249487022352,26.96039603960396,8.0,9.801980198019802,160.17821782178217,3.8118811881188117,5.297029702970297,12.277227722772277,34.722772277227726,103.33663366336634
23,Arizona,2006,17.402028367745032,36.394961718942874,34.30773030377871,0.026821083724376665,0.04540503828105724,38.99925907631514,1.388526928871327,2.497332674734514,3.5227088326619302,0.40299634897505426,0.7507532724129499,7.4498906093412005,21.06989720552425,29.30952380952381,8.0,11.273809523809524,161.5,4.761904761904762,6.857142857142857,13.535714285714286,36.464285714285715,98.5952380952381
24,Arizona,2007,16.308904887234004,34.63191489361702,32.69042553191489,0.026395610106382944,0.044098936170212794,37.88936170212766,1.2908076000000015,2.3438031914893847,3.4043684232514244,0.37320496276595894,0.7047606382978825,7.169511861562225,20.28841687971405,26.5,8.0,8.75,147.08653846153845,4.519230769230769,5.259615384615385,11.076923076923077,32.84615384615385,92.875
25,Arizona,2008,16.53043756084399,35.62757605495584,33.64082433758587,0.02651858488714422,0.043875368007851134,37.78066732090284,1.273621883709522,2.328949950932298,3.3993292001143063,0.3483159462708561,0.6613346418056975,6.834831226762875,20.41391302134147,27.0,8.0,10.462264150943396,153.28301886792454,4.113207547169812,4.584905660377358,9.90566037735849,34.679245283018865,98.36792452830188
26,Arizona,2009,15.786262373047729,34.373940205265505,32.45426149040607,0.026608755020080352,0.04407764390896933,37.57965194109772,1.0215450307898255,1.8456046407853912,2.924254361112929,0.36429711869701237,0.6569834895136205,6.818620298562212,19.944197022794732,26.393939393939394,8.0,9.05050505050505,152.74747474747474,3.7373737373737375,4.212121212121212,10.434343434343434,34.696969696969695,99.36363636363636
27,Arizona,2010,14.907330469894772,32.777515789473696,30.856,0.026389020631578913,0.043590736842105245,37.30863157894737,0.9295798261052558,1.7893894736842404,2.918412769044371,0.32631722736842134,0.6106526315789553,6.502148808293321,19.396298289071268,26.466019417475728,8.0,8.883495145631068,158.3398058252427,3.436893203883495,4.349514563106796,10.776699029126213,38.33009708737864,100.66019417475728
28,Arizona,2011,15.275642223162002,32.24762524398175,30.210800260247236,0.02768065647364997,0.0447905009759275,38.49316851008458,0.6507697550422904,1.5154521795705935,2.5591424215367184,0.2862470624593365,0.5363435263500328,6.200971029501217,19.366020555342438,26.514851485148515,8.0,9.306930693069306,167.0891089108911,3.1881188118811883,3.99009900990099,10.851485148514852,39.51485148514851,108.99009900990099
29,Arizona,2012,16.516043216520682,34.57459324155182,32.44430538172716,0.02668046558197756,0.04467897371714694,38.442428035043804,0.7827030822903687,1.5255632040050067,2.536795195118121,0.2979534305381736,0.5677296620775976,6.402655448964211,19.956546015213327,26.5,8.0,9.384615384615385,172.55769230769232,3.1923076923076925,3.8846153846153846,10.89423076923077,41.09615384615385,113.16346153846153
30,Arizona,2013,14.71300615502454,31.027696078431344,29.094975490196077,0.027370035539215604,0.04429840686274559,40.1875,0.6173418036151967,1.4292585784313676,2.486745654025088,0.2791048566176477,0.5215765931372519,6.081809872069637,19.4627577540727,26.5,8.0,7.923076923076923,169.56730769230768,2.6153846153846154,4.25,11.076923076923077,39.13461538461539,111.83653846153847
31,Arizona,2014,15.173005087010605,32.098446239900525,30.12989434431324,0.026290681789931603,0.043984462399005976,41.75699192044748,0.8181615742697346,1.5835301429459279,2.582291858239674,0.3609387243629588,0.6301780609073967,6.7502022390852865,20.304845090521418,27.0,8.0,7.584905660377358,170.16037735849056,2.7830188679245285,3.6037735849056602,10.962264150943396,39.075471698113205,113.4622641509434
32,Arizona,2015,11.753233885882322,26.14000000000005,24.460588235294118,0.02750292352941175,0.043152941176471095,40.66882352941177,0.5135843576470592,1.1441470588235176,2.273534869711362,0.32541621294117773,0.5528217647058873,6.274096598532772,18.419260808237503,26.627450980392158,8.0,7.588235294117647,181.34313725490196,2.303921568627451,3.715686274509804,11.558823529411764,40.970588235294116,121.7843137254902
33,Arizona,2016,14.968749821086265,30.70479233226829,28.578274760383387,0.022908648562300335,0.04086581469648553,37.945686900958464,0.3354244840255587,0.9182108626198113,2.006574711846293,0.43454342811501634,0.7079968051118191,7.198688174377755,18.932306136891476,20.064935064935064,8.0,10.285714285714286,191.0,2.4935064935064934,4.48051948051948,12.12987012987013,44.63636363636363,126.96103896103897
34,Arkansas,2000,25.9423,42.7453,40.4157,0.0408353,0.0501655,43.1472,4.30707,6.65621,7.93535,0.721985,1.094762,10.577235,25.51887125,26.0,7.0,4.0,69.3529411764706,2.3333333333333335,2.3333333333333335,4.705882352941177,14.313725490196079,45.21568627450981
35,Arkansas,2001,23.718414483464567,39.9785361079865,37.78736040494938,0.03844122092238471,0.048335557930258705,41.53359550056243,4.126718761304838,6.281757052868393,7.443449429959311,0.699003837007874,1.0445316580427444,10.054069560625912,24.204618724024257,26.19607843137255,7.0,2.4313725490196076,66.84313725490196,2.0784313725490198,2.4705882352941178,5.078431372549019,14.294117647058824,42.627450980392155
36,Arkansas,2002,21.494528966929135,37.211772215973006,35.15902080989876,0.036047141844769426,0.0465056158605174,39.919991001124856,3.946367522609676,5.907304105736786,6.951548859918623,0.676022674015748,0.9943013160854887,9.530904121251822,22.89036619804852,26.346938775510203,7.0,2.183673469387755,68.12244897959184,2.7142857142857144,2.795918367346939,5.3061224489795915,14.448979591836734,42.69387755102041
37,Arkansas,2003,19.270643450393706,34.445008323959506,32.530681214848144,0.033653062767154136,0.0446756737907761,38.306386501687285,3.7660162839145137,5.53285115860518,6.459648289877935,0.6530415110236221,0.944070974128233,9.007738681877733,21.576113672072772,27.0,7.0,2.830188679245283,71.15094339622641,2.339622641509434,2.169811320754717,5.056603773584905,16.037735849056602,45.54716981132076
38,Arkansas,2004,17.046757933858274,31.678244431946005,29.902341619797525,0.03125898368953885,0.042845731721034806,36.69278200224972,3.5856650452193515,5.158398211473573,5.967747719837246,0.6300603480314961,0.8938406321709774,8.484573242503645,20.261861146097033,26.5,7.0,2.5961538461538463,71.11538461538461,2.576923076923077,2.269230769230769,4.788461538461538,17.51923076923077,43.96153846153846
